Autor;T°tulo;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usu†rio Impressora 3D;Metodologia Utilizada;Etapa, disciplina e curr°culo;Cultura Maker e Ensino STEAM;Observaá‰es;Criaá∆o do design;INSTITUIÄ«O
"Caruso, Renata Cury; da Silva, Sani de Carvalho Rutz; Marcondes, Renato; ";USO DA IMPRESS«O 3D NO ENSINO-APRENDIZAGEM: REVIS«O SISTEMµTICA SOBRE OS PRINCIPAIS PROBLEMAS ENCONTRADOS;Boletim de Conjuntura (BOCA);16;47;448-473;2023;;;;;;;;;
"Peretti, Gustavo Schwitzki; Hollmann, Filipe; Evangelista, Fabio Lombardo; ";ENSINO DE F÷SICA, ARDUINO E IMPRESS«O 3D PARA ESCOLAS PÈBLICAS;Anais da Mostra de Iniciaá∆o Cient°fica do Instituto Federal Catarinense Campus Conc¢rdia-ISSN 2317-8671;13;1;85-85;2023;;;;;;;;;
"Rangel, Michele de Freitas Moura; Machado, Cassiana Barreto Hygino; ";Impress∆o 3D e ensino de ¢ptica geomÇtrica: seleá∆o de materiais para uma sequància did†tica;Congresso Fluminense de P¢s-Graduaá∆o-CONPG;;;;2023;;;;;;;;;
"da Silva, Regiane Guimar∆es; Santos, Alcides Loureiro; da Silva, Marcelo Loureiro; de Carvalho, Yuri Karaccas; ";MODELOS DE DENTES DE MAM÷FEROS IMPRESSOS EM 3D E SUA APLICAÄ«O AO ENSINO DE CI“NCIAS BIOL‡GICAS;Ensino de Ciàncias e Tecnologia em Revista?ENCITEC;13;1;78-97;2023;;;;;;;;;
"Gaspar, Gabriela; ";Construá∆o de modelos moleculares acess°veis: uma proposta para o ensino de qu°mica com impressora 3D;;;;;2023;;;;;;;;;Blumenau, SC.
"FERREIRA, HORT“NCIA DE JESUS; ";Explorando Novas Dimens‰es no Ensino Anatìmico: Impress∆o 3D em Cursos TÇcnicos de Radiologia;;;;;2023;;;;;;;;;
"Evangelista, F†bio Lombardo; Sordi, Beatriz Paludo; Pereira, Iago Anderson; Bomm, Adriano Arthur; ";De estudante para estudante: atividade experimental envolvendo ardu°no, impress∆o 3d e f°sica;CONTRAPONTO: Discuss‰es cient°ficas e pedag¢gicas em Ciàncias, Matem†tica e Educaá∆o;4;5;144-160;2023;;;;;;;;;
"Dos Santos, Kemilly Seibel; Evangelista, Fabio Lombardo; ";ENSINO CIENT÷FICO E TECNOL‡GICO PARA ESCOLAS PÈBLICAS;Anais da Mostra de Iniciaá∆o Cient°fica do Instituto Federal Catarinense Campus Conc¢rdia-ISSN 2317-8671;13;1;84-84;2023;;;;;;;;;
"SILVA, Pedro Henrique Moreno da; ";Impress∆o 3D como uma metodologia no ensino de qu†dricas: relato de experiància.;;;;;2023;;;;;;;;;Universidade Federal de Campina Grande
"Funes, Gautama MogliÇ; ";Explorando o potencial da impress∆o 3d na educaá∆o: um protocolo guiado para produá∆o de bicamadas lip°dicas;;;;;2023;;;;;;;;;Florian¢polis, SC.
"Rocha, Erlifas Moreira; Conrado, Gutemberg; ";Ciància 3D impressa: Oficina de F°sica;;;;;2023;;;;;;;;;
"Yahiro, Davi Shunji; Abrantes, Juliana Cadilho da Silva; Magliano, D; Mesquita, Claudio Tinoco; ";Criaá∆o de Modelos Embriol¢gicos Card°acos para Impress∆o 3D para Ensino de Anatomia e Embriologia;Arquivos Brasileiros de Cardiologia;120;;e20220632;2023;;;;;;;;;SciELO Brasil
"Oliveira, Antonio Darges Ibiapina; ";Modelagem e modelos para o ensino de qu°mica voltado Ös pessoas com deficiància visual: uma revis∆o da literatura;;;;;2023;;;;;;;;;Instituto Federal de Educaá∆o, Ciància e Tecnologia do Piau°
"Ribeiro, Araceli; Rangel, Amanda Almerindo; MOREIRA, DIEGO SUHET; RIBEIRO, JOSELITO NARDY; ";O CRESCIMENTO DE CRISTAIS: UMA PERSPECTIVA PARA O ENSINO DE QU÷MICA NO ENSINO MêDIO A PARTIR DA EXPERIMENTAÄ«O;Revista Eletrìnica Sala de Aula em Foco;12;1;59-73;2023;artigo;B2;;;;;;;
"Azambujo, Rosana Teodoro; ";PRµXIS PEDAG‡GICA NO ENSINO DE CI“NCIAS EM CONTEXTO PAND“MICO COM SUPORTE NAS METODOLOGIAS ATIVAS E EDUCAÄ«O MAKER;;;;;2023;;;;;;;;;Instituto Federal Goiano
"Trombetoni, Hugo Henrique; Ribeiro, Ma°ra Fernanda; de Souza, Paola; Souto, Nilton Luiz; ";MANUFATURA ADITIVA E DESENVOLVIMENTO DE MODELO DIDµTICO COMO APOIO NA ALFABETIZAÄ«O DA ESCRITA BRAILLE;15ß JORNADA CIENT÷FICA E TECNOL‡GICA E 12 ß SIMP‡SIO DE P‡S-GRADUAÄ«O DO IFSULDEMINAS;15;2;;2023;;;;;;;;;
"G¢es, Anderson Roges Teixeira; Pinheiro, Poliana Batista; Coelho, JosÇ Ricardo Dolenga; G¢es, Heliza Colaáo; ";Anatomia T†til 3D: material educativo inclusivo para o ensino e aprendizagem da anatomia humana;Human Factors in Design;12;24;083-093;;;;;;;;;;
"Rodrigues, Gabrielly AG; Teixeira, Lucas T; Wiltgen, Filipe; Duarte, Edson An°cio; Teixeira, Bruno Eduardo; ";INOVAÄ«O SUSTENTµVEL COM CAIXAS FEITAS EM IMPRESS«O 3D PARA MEDICAMENTOS;;;;;;;;;;;;;;
"Jorge, Camila Silva Pereira; Ara£jo, M†rcio Lu°s Valenáa; J£nior, An°bal de Freitas Santos; ";MODELO H÷BRIDO DE APRENDIZAGEM NAS ESCOLAS: ASPECTOS RELACIONADOS AOS COMPONENTES CURRICULARES DE CI“NCIAS BIOL‡GICAS;Anais do Semin†rio Tecnologias Aplicadas a Educaá∆o e Sa£de;;;71-80;2023;;;;;;;;;
"Farias, JosÇ Lucas; ";A inclus∆o da cultura maker no ensino mÇdio como ferramenta did†tica;;;;;2023;;;;;;;;;Instituto Federal de Educaá∆o Ciància e Tecnologia de Alagoas
"Junior, Natal Anacleto Chicca; Castillo, Leonardo Gomez; ";Os desafios em utilizar a impress∆o 3D no processo ensino-aprendizagem de design;RENOTE;16;1;;2018;artigo;A4 ;;;;;;;
"Mendonáa, Suzielli Martins; Conrado, Gutemberg; Centenaro, Enzo Filippo; Bertoncelli, Leonardo; Bertti, Caroline Vanessa Bauman; ";Desenvolvimento de experimentos did†ticos utilizado a tecnologia de impress∆o 3D;;;;;2023;;;;;;;;;
"da Silva, Jailson Rodrigues; Florindo, Girlane; Machado, Veruska; ";Tecnologia 3D: Ferramenta para o ensino de Artes Visuais para pessoas com deficiància visual;Brazilian Symposium on Computers in Education (Simp¢sio Brasileiro de Inform†tica na Educaá∆o-SBIE);28;1;1772;2017;;;;;;;;;
"Lacerda, Janiny Nunes; ";A impress∆o 3D como estratÇgia de ensino e aprendizagem em qu°mica na educaá∆o b†sica;;;;;2017;;;;;;;;;
"da Fraga Gonáalves, Hanna AimÇe; Medeiros, êrika Medina; de Sousa, Gustavo Mota; Lima, Delson; ";CONSTRUÄ«O DE MATERIAIS DIDµTICOS PARA O ENSINO DE CARTOGRAFIA E GEOMORFOLOGIA ATRAVêS DA IMPRESS«O 3D;;;;;;;;;;;;;;
"da Silva, DÇbora Bin; Lieban, Diego Eduardo; Fitarelli, Sarah; Reginato, Maria J£lia; Farias, Juan Alexandre Pereira; ";IMPRESS«O 3D DE MATERIAIS DIDµTICOS MODELADOS EM SOFTWARES DIGITAIS;5ß SAL«O DE PESQUISA, EXTENS«O E ENSINO DO IFRS;;;;2020;;;;;;;;;
"Neto, Antonio Virg°nio Martins; Nascimento, Carlos JosÇ Sabino; Santos, Jarles Tarsso Gomes; Viana, Fl†via Roldan; Fonseca, GÇssica Fabiely; ";Impress∆o 3D e o Ensino de Geografia para aluna com Deficiància Visual;Revista de Casos e Consultoria;11;1;e11115-e11115;2020;artigo;B4;;;;;;;
"Carneiro, Celso Dal RÇ; Gondek, Thassia Pine; Ferreira, R; Polly, D; Fontolan, LSB; Oliveira, M; Noritomi, P; ";Aplicaá∆o de maquetes f°sicas tridimensionais da Bacia do Paran† no Ensino de Geociàncias;Congresso Brasileiro de Geologia de Engenharia e Ambiental;17;;;2022;;;;;;;;;
"de Andrade Batista, Rayane Luzia; Santos, Jarles Tarsso Gomes; ";O Uso do GeoGebra e Impressora 3D como Recurso Did†tico para o Ensino da Geometria das Coordenadas;Anais do V Congresso sobre Tecnologias na Educaá∆o;;;208-217;2020;;;;;;;;;SBC
"Barros, Heitor WS; Leite, Yasmim Picanáo; Nunes, Karlyana Madeira; Carvalho, Felipe Gato; ";Impress∆o 3D e conhecimento astronìmico como ferramenta de iniciaá∆o e divulgaá∆o da ciància;Revista Interdisciplinar de Tecnologias na Educaá∆o (RInTE);8;1;;2022;artigo;;;;;;;;
"Evangelista, F†bio Lombardo; ";Materiais did†ticos para o ensino de f°sica no n°vel fundamental por meio de plataformas eletrìnicas;Revista do Professor de F°sica;3;3;49-68;2019;artigo;C;;;;;;;
"Medeiros, Magno; da Silva, Marlon; de Oliveira, Daniella; dos Santos, F†bio; Rodrigues, Luanda K°via; ";Influància da Densidade de Preenchimento e do N£mero de Per°metros nas Propriedades MecÉnicas de Peáas Fabricadas em PLA a Partir de Impress∆o 3D;CALIBRE-Revista Brasiliense de Engenharia e F°sica Aplicada;5;;33-39;2020;;;;;;;;;
"VIEIRA, Eduardo Filipe Torres; MIRANDA, Phelipe Henrique Costa; ";Modelagem e impress∆o 3D de ferramentas did†ticas para o curso de Agronomia;;;;;2021;;;;;;;;;UFRA/Campus BelÇm
"Vieira, David Vernon; ";Inovaá∆o em bibliotecas: consideraá‰es sobre a disponibilizaá∆o de serviáo de impress∆o 3D;Revista Brasileira de Biblioteconomia e Documentaá∆o;13;;1106-1120;2017;artigo;A3;;;;;;;
"Ventura, Fl†vio Cardoso; Lopes, Aparecida Maria Zem; de Menezes, Carlos Rezende; Favoni, CÇlio; ";Uso remoto da impress∆o 3D no processo de ensino-aprendizagem para alunos de uma IES;;;;;;;;;;;;;;
"Morandini, MoisÇs Miranda; Del Vechio, Gustavo Henrique; ";IMPRESS«O 3D, TIPOS E POSSIBILIDADES: uma revis∆o de suas caracter°sticas, processos, usos e tendàncias;Revista Interface Tecnol¢gica;17;2;67-77;2020;artigo;;;;;;;;
"Pires, Mylena Iasmim Figueiredo; J£nior, Airton JosÇ Vinholi; ";Modelos Concretos em Impress∆o 3D como Materiais Inclusivos na Educaá∆o Profissional e Tecnol¢gica;Brazilian Journal of Development;6;12;104084-104097;2020;;;;;;;;;
"Alencar, Vit¢ria Mickelle Pereira de; ";Uso da Manufatura Aditiva para Produá∆o de Mapas T†teis: Uma combinaá∆o de Braille e Impress∆o 3D para identificar salas e espaáos f°sicos do IFSert∆oPE;;;;;2022;;;;;;;;;
"da Silva, Eloar Froboese; da Silva, Lucas Menin; Deon, Vin°cius Gonáalves; Toso, Marcelo AndrÇ; ";Impress∆o 3D aplicada Ö tecnologia assistiva;Revista Destaques Acadàmicos;12;4;;2020;artigo;;;;;;;;
"BUHAGIAR, Marco Fernandes; ";Tecendo camadas: um estudo sobre o uso domÇstico da impress∆o 3D;;;;;2022;;;;;;;;;Universidade Federal de Pernambuco
"CARDOSO, Bressa Karolina Dias; PEREIRA, Gisele Carla Sousa; ";Modelagem e impress∆o de um sistema automatizado de cultivo indoor em impressora 3D.;;;;;2023;;;;;;;;;UFRA/Campus BelÇm
"Alves de Oliveira, C°ntia Rochele; Corràa Ferreira, Cristiano; da Silva de Lima Martins, Claudete; ";Modelo did†tico para o ensino de Ciàncias, construá∆o por meio de impress∆o 3D: an†lise e avaliaá∆o no processo de ensino-aprendizagem;TE & ET;;;;2022;;;;;;;;;
"de Lima Martins, Silva; ";Modelo did†tico para o ensino de Ciàncias, construá∆o por meio de impress∆o 3D: an†lise e avaliaá∆o no processo de ensino-aprendizagem;;;;;;;;;;;;;;
"Pacheco, Hualan Patr°cio; Zibetti, Marli L£cia Tonatto; ";O ENSINO DE ASTRONOMIA EM UM CURSO DE FORMAÄ«O DE PROFESSORES: O CASO DA SUPERF÷CIE MARCIANA;Revista Latino-Americana de Educaá∆o em Astronomia;;33;107-121;2022;artigo;;;;;;;;
"Figueiredo, Beatriz Beca; Cesar, Francisco Ign†cio Giocondo; ";Um estudo da utilizaáao da impressora 3D na Engenharia e na Medicina;RECISATEC-REVISTA CIENT÷FICA SAÈDE E TECNOLOGIA-ISSN 2763-8405;2;1;e2170-e2170;2022;;;;;;;;;
"Garcia, Tha°s Ribeiro; Macedo, Rafaela Melo; Vaz, Matheus Hernandes Vieira; Borges, Guilherme Henrique Iaccino; Zendron, Igor Mundim; Arruda, Jalsi Tacon; ";Impress∆o 3D de peáas anatìmicas como ferramentas de educaá∆o e aux°lio na pr†tica cl°nica;Research, Society and Development;11;13;e248111335234-e248111335234;2022;;;;;;;;;
"Luz, Taciana Ramos; Huebner, Rudolf; Silva, Gabriel Vieira; Maia, Nat†lia Lara Mota; Franáa, µlvaro; Arrais, Crislaine Gomes; ";Desenvolvimento de recursos assistivos em impressora 3D para alunos universit†rios com deficiància;Revista Docància do Ensino Superior;12;;1-26;2022;artigo;A3;;;;;;;
"Cavalcanti J£nior, Wellington Ten¢rio; ";Impress∆o tridimensional de peáas anatìmicas para ensino dos aspectos morfofisiol¢gicos da embriologia na enfermagem;;;;;2022;;;;;;;;;Pesqueira
"Medeiros, Raiza De S†; Gomes, Nicolas Azevedo; ACIOLY, THIAGO MACHADO DA SILVA; Viana, Diego Carvalho; ";DIGITALIZAÄ«O E IMPRESS«O TRIDIMENSIONAL DE PEÄAS ANAT‚MICAS PARA ENSINO DE MEDICINA VETERINµRIA;SAPIENS-Revista de divulgaá∆o Cient°fica;5;1;75-89;2023;;;;;;;;;
"Tillmann, Ana; ";Impress∆o 3D e arte como aliadas no desenvolvimento cognitivo da crianáa com deficiància visual;;;;;2022;;;;;;;;;Florian¢polis, SC
"Carius, Ana Carolina; de Oliveira Baldner, Felipe; Maiworm, AndrÇ Probst; ";Rob¢tica educacional no contexto do novo Ensino MÇdio: uma aplicaá∆o de c¢digo de aberto;Revista INTER EDUCA;5;3;15-26;2023;artigo;;;;;;;;
